times,sauna,lüftung,gastronomie,gesundheitspark,technik,gesamt
03-11-2013 10:00:00,22150.3,19919.5,40724.1,31923.4,40589.6,222666.7
03-11-2013 10:15:00,20722.5,19697.5,33150.0,32786.3,38879.1,214666.7
03-11-2013 10:30:00,21956.6,19898.4,30132.7,26849.3,41087.6,206666.7
03-11-2013 10:45:00,22508.1,19886.5,38691.7,23205.7,38796.3,201333.3
03-11-2013 11:00:00,25537.4,19969.5,49887.1,25840.4,41616.9,206666.7
03-11-2013 11:15:00,19622.8,19961.9,38166.3,21105.4,40336.0,225333.3
03-11-2013 11:30:00,22015.7,19769.4,37515.3,20539.9,39443.4,209333.3
03-11-2013 11:45:00,17954.5,19964.8,31596.4,22070.6,41106.8,205333.3
03-11-2013 12:00:00,17456.9,19974.3,31448.9,20208.6,38341.4,196000.0
03-11-2013 12:15:00,21111.9,20004.8,38930.9,21409.6,41264.2,190666.7
03-11-2013 12:30:00,17560.2,19953.9,33459.2,22598.8,39090.0,206666.7
03-11-2013 12:45:00,18937.5,19736.3,35945.5,23084.7,41209.2,193333.3
03-11-2013 13:00:00,20435.8,19929.6,49717.2,20857.1,38370.9,201333.3
03-11-2013 13:15:00,16114.7,19971.3,44194.7,20696.5,41290.6,213333.3
03-11-2013 13:30:00,17384.9,19953.2,44574.3,21797.7,39022.9,213333.3
03-11-2013 13:45:00,16873.1,19947.2,40977.2,20765.1,41148.7,204000.0
03-11-2013 14:00:00,20043.9,19756.9,34537.9,21486.6,38825.7,210666.7
03-11-2013 14:15:00,16410.8,19935.6,27985.5,23161.4,41220.0,205333.3
03-11-2013 14:30:00,16816.8,19940.9,30525.7,23226.9,40413.2,193333.3
03-11-2013 14:45:00,22514.5,19937.9,29719.8,23785.3,39888.9,193333.3
03-11-2013 15:00:00,19656.9,15431.6,35407.3,26264.9,40709.8,202666.7
03-11-2013 15:15:00,16727.7,14512.7,39923.9,32032.2,38978.1,193333.3
03-11-2013 15:30:00,18477.3,20066.2,40268.1,23417.2,41287.8,192000.0
03-11-2013 15:45:00,19489.9,20099.7,24634.1,23119.1,38623.0,212000.0
03-11-2013 16:00:00,17921.6,20179.2,25283.7,21685.8,41263.9,200000.0
03-11-2013 16:15:00,17740.1,20198.5,24991.4,29575.8,39071.3,201333.3
03-11-2013 16:30:00,19531.8,20157.9,22444.8,23057.4,41064.9,201333.3
03-11-2013 16:45:00,21039.5,19919.9,24454.9,23534.2,39129.9,193333.3
03-11-2013 17:00:00,19936.7,20141.4,19416.7,26415.5,41347.0,200000.0
03-11-2013 17:15:00,19257.7,20161.6,28261.5,29344.0,40954.3,196000.0
03-11-2013 17:30:00,19701.8,20156.1,24389.9,34956.2,39270.0,208000.0
03-11-2013 17:45:00,23018.6,20198.1,18101.1,27742.7,41176.3,210666.7
03-11-2013 18:00:00,22297.3,20018.2,24830.6,26938.9,39666.4,204000.0
03-11-2013 18:15:00,16567.3,20176.0,27381.7,27168.3,41359.9,205333.3
03-11-2013 18:30:00,20031.9,20092.0,27521.5,25651.0,38836.6,201333.3
03-11-2013 18:45:00,21401.9,20140.0,33986.3,27097.1,41359.7,197333.3
03-11-2013 19:00:00,23009.2,20166.7,29908.8,27301.3,38958.8,208000.0
03-11-2013 19:15:00,18796.2,19994.9,31639.2,27797.2,41053.6,202666.7
03-11-2013 19:30:00,18063.3,20154.0,28203.2,28179.5,40778.8,206666.7
03-11-2013 19:45:00,18061.8,20202.1,20906.1,26769.1,39993.4,204000.0
03-11-2013 20:00:00,21237.3,20141.9,19967.0,29181.2,41073.1,200000.0
03-11-2013 20:15:00,21399.4,20164.7,18862.8,28451.7,39324.0,198666.7
03-11-2013 20:30:00,16113.2,20003.7,6664.4,25876.8,41591.4,196000.0
03-11-2013 20:45:00,10331.9,20200.1,7147.8,26841.5,26116.5,181333.3
03-11-2013 21:00:00,8253.4,20220.6,5248.3,28452.9,27608.9,157333.3
03-11-2013 21:15:00,7469.0,20232.8,4585.1,29383.3,25089.6,146666.7
03-11-2013 21:30:00,3715.5,20262.4,6324.8,26858.3,27290.5,138666.7
03-11-2013 21:45:00,1908.4,20231.2,6021.4,25284.1,26031.6,138666.7
03-11-2013 22:00:00,1141.5,20000.0,4838.8,25726.8,19049.2,133333.3
03-11-2013 22:15:00,1193.2,20266.1,5782.3,26770.0,19497.6,112000.0
03-11-2013 22:30:00,1275.0,20270.7,5476.1,24204.1,16914.1,109333.3
03-11-2013 22:45:00,1139.3,20291.5,5567.9,23294.5,19185.2,106666.7
03-11-2013 23:00:00,1174.6,20261.2,5759.9,24911.7,17429.4,105333.3
03-11-2013 23:15:00,1278.4,20115.9,5302.4,24359.6,19313.2,101333.3
03-11-2013 23:30:00,1152.8,20299.1,5202.8,24975.9,17247.8,101333.3
03-11-2013 23:45:00,1278.8,20331.1,4658.0,25976.4,19586.4,97333.3
04-11-2013 00:00:00,1193.4,20308.8,4344.1,24893.2,17151.2,101333.3
04-11-2013 00:15:00,1233.6,20308.5,5755.3,28093.7,19797.8,98666.7
04-11-2013 00:30:00,1284.9,20107.0,4825.1,29081.7,19504.9,104000.0
04-11-2013 00:45:00,1189.9,20315.9,5297.5,28130.2,17156.1,102666.7
04-11-2013 01:00:00,1140.0,20292.6,6238.3,26616.2,19681.1,104000.0
04-11-2013 01:15:00,1271.5,20274.3,5229.6,28802.8,16968.0,101333.3
04-11-2013 01:30:00,1264.5,20293.5,4560.4,27733.7,19567.2,100000.0
04-11-2013 01:45:00,1231.0,20134.0,4469.1,27471.3,16991.3,101333.3
04-11-2013 02:00:00,1191.2,20274.3,4085.1,28051.1,19290.8,98666.7
04-11-2013 02:15:00,1268.5,20317.7,3830.8,27772.8,17392.7,101333.3
04-11-2013 02:30:00,1159.3,19893.0,3804.0,26120.6,14178.9,100000.0
04-11-2013 02:45:00,1204.0,19872.5,3889.9,24375.7,11976.3,92000.0
04-11-2013 03:00:00,1172.9,19872.2,3822.6,25073.9,11427.2,88000.0
04-11-2013 03:15:00,1179.9,19654.6,4185.0,24560.7,12775.9,88000.0
04-11-2013 03:30:00,1273.1,19856.5,6185.7,24404.4,10836.1,90666.7
04-11-2013 03:45:00,1148.1,19856.0,3908.1,25297.5,12692.4,90666.7
04-11-2013 04:00:00,1200.3,19841.2,3943.4,53483.5,10724.0,89333.3
04-11-2013 04:15:00,1171.4,19815.9,3982.8,44281.7,13261.5,101333.3
04-11-2013 04:30:00,1166.5,19611.2,3756.7,57114.7,13759.1,101333.3
04-11-2013 04:45:00,1257.5,19791.2,4090.1,55139.9,14205.9,113333.3
04-11-2013 05:00:00,3521.7,19744.2,4156.4,43223.4,10325.2,117333.3
04-11-2013 05:15:00,3558.5,19693.5,10354.7,43174.1,13000.0,116000.0
04-11-2013 05:30:00,3665.9,19688.9,10052.2,45912.9,11905.3,126666.7
04-11-2013 05:45:00,3747.8,19495.2,16589.8,49012.3,12149.8,130666.7
04-11-2013 06:00:00,3712.4,20061.1,23567.7,65187.6,27016.5,145333.3
04-11-2013 06:15:00,3484.3,20027.2,20524.1,63335.9,25062.0,182666.7
04-11-2013 06:30:00,3566.0,20079.1,10380.0,57803.2,29128.6,185333.3
04-11-2013 06:45:00,3544.8,20133.7,11008.7,64046.8,26724.9,170666.7
04-11-2013 07:00:00,3649.0,19950.7,11095.9,65782.1,29470.9,174666.7
04-11-2013 07:15:00,3719.6,20052.1,17504.2,67320.1,28359.5,176000.0
04-11-2013 07:30:00,3630.8,20053.4,30458.2,75574.8,29561.9,185333.3
04-11-2013 07:45:00,3673.5,20035.7,30004.1,83314.9,31037.6,208000.0
04-11-2013 08:00:00,3580.8,20007.9,30469.2,78817.1,48988.5,212000.0
